"","n1","n2","sig11","sig12","sig13","sig14","sig15","sig16","sig17","sig18","sig19","sig21","sig22","sig23","sig24","sig25","sig26","sig27","sig28","sig29","sig_y1","sig_y2","basemu1","basemu2","basemu3","shift","alphas1","alphas2","alphas3","alphas4","betas1","betas2","betas3","betas4","tau1","tau2","gammas1","gammas2","gammas3","sens","spec","outcome_model","tau1hat","tau1tilde","psi1","psi2","tau1mime","tau1naive","tau1oracle"
"310","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.95","0.95","normal",1.32989027007149,1.19809410988819,1.1840378608277,0.955174487215486,1.01116650423098,1.19965118521884,1.09763904196218
"311","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.95","0.95","normal",0.881642810505468,0.922804622759546,0.820466998376727,0.873792328308896,0.881841267312292,0.823150239272924,0.997010995279757
"312","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.95","0.95","normal",0.870843430087875,1.01536776153211,0.776145069740668,0.934972055198919,0.969522385879159,0.776336691176983,1.03808136333158
"313","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.95","0.95","normal",0.860932499420461,0.895228359217587,0.819767223988405,0.867986707404188,0.890154232906987,0.82324964223883,1.00571835195182
"314","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.95","0.95","normal",1.10933211342088,1.06543558355722,0.897384925585567,0.8621877838051,1.0410412366196,0.910486368248325,1.00262378168291
"315","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.95","0.95","normal",0.837828801759842,0.876663989494899,0.819056535062575,0.863252965806446,0.872653806529153,0.818662274883243,1.0279516871672
"316","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.95","0.95","normal",1.05690002875516,1.02069498801585,0.941307999241738,0.885902949810747,0.957990459639421,0.939975311527188,0.980842427526281
"317","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.95","0.95","normal",0.873309868300205,0.992856458793772,0.750823591737364,0.905548845905513,1.0197765807732,0.750094244513927,1.01766679428748
"318","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.95","0.95","normal",1.07234926399847,1.04844487371302,0.93964950910317,0.910383066661558,1.03671794667548,0.938645580128512,1.02303103815189
"319","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.95","0.95","normal",1.24859742441316,1.04663820124908,1.11248235640467,0.849094101385026,0.965808568969445,1.1093644041662,0.974056762008137
"320","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.95","0.95","normal",0.944830003306207,0.981894939113643,0.807474105732139,0.855469652018144,0.933904954302427,0.805962415146874,0.917070602676927
"321","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.95","0.95","normal",0.898602695604964,0.941233916120864,0.877149783773538,0.943598839815569,0.893279514362526,0.883550163554195,1.03598952837035
"322","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.95","0.95","normal",0.97198752931184,1.16833692741937,0.745586832523834,0.976231009498903,1.13303682468218,0.751036514537409,1.10539179816479
"323","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.95","0.95","normal",1.03948695303182,0.880033454251665,0.99909638189425,0.816090251078306,0.854572177128168,1.0040860823842,0.89519294248997
"324","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.95","0.95","normal",0.722082011340427,0.879115669040344,0.627896605759258,0.819825861558553,0.919799214837571,0.617157527274717,0.971915282685477
"325","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.95","0.95","normal",1.13073472949188,1.29301639853953,0.772426599807323,0.992353813652411,1.15142028606155,0.77276015743625,1.1077299372202
"326","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.95","0.95","normal",0.844151434745094,0.970239757185073,0.788164311716326,0.931278195499969,0.957788904844224,0.786670614769103,1.06723872297278
