"","n1","n2","sig11","sig12","sig13","sig14","sig15","sig16","sig17","sig18","sig19","sig21","sig22","sig23","sig24","sig25","sig26","sig27","sig28","sig29","sig_y1","sig_y2","basemu1","basemu2","basemu3","shift","alphas1","alphas2","alphas3","alphas4","betas1","betas2","betas3","betas4","tau1","tau2","gammas1","gammas2","gammas3","sens","spec","outcome_model","tau1hat","tau1tilde","psi1","psi2","tau1mime","tau1mimeunc","tau1naive","tau1oracle"
"35","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.8","0.95","normal",0.93512975779631,0.928491711555208,0.664324457520076,0.655872421980518,0.897312127065256,0.56848370139499,0.664521413049711,0.955246066511898
"36","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.8","0.95","normal",0.782204287740991,0.927493942669457,0.535965831853902,0.773111615202483,0.980847138560666,0.589905610548983,0.535692769236585,1.03477182035628
"37","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.8","0.95","normal",1.06230245964477,0.780419362233264,1.06788993885253,0.684750280777416,0.825014825218208,0.571658123843073,1.06729665334365,0.986055815670001
"38","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.8","0.95","normal",1.33146047092737,1.19085884134355,0.926467770517967,0.71435375004189,1.17092267848315,0.662972375871031,0.926489379291644,1.00793221585794
"39","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.8","0.95","normal",0.876918430509897,0.90823859764035,0.69938682558626,0.742388344012692,0.90100523111522,0.579490670411406,0.700555300528117,0.984464565463844
"40","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.8","0.95","normal",0.925318650687872,0.920731789237511,0.701193340780506,0.695059151014628,0.952808872952396,0.631458459435295,0.699157639995925,0.987528055833847
"41","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.8","0.95","normal",1.04994504910808,1.08376729339541,0.606591079454676,0.710140353065849,0.949494881439475,0.583944284065807,0.606754245789666,0.975525548802854
"42","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.8","0.95","normal",1.03669384889602,1.06689716824157,0.687736593766546,0.733063202220852,1.0525752921479,0.592838070825622,0.687096243177818,1.02376322792164
"43","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.8","0.95","normal",0.895467163414574,0.842595932078446,0.730623355862963,0.629532822430266,0.958865163234042,0.567834312528946,0.728591737564831,0.93827942513557
"44","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.8","0.95","normal",1.11274668964333,1.16065302622977,0.669189554209775,0.748992531465041,1.0661378759207,0.637056496938406,0.671353624494688,1.02955969046881
"45","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.8","0.95","normal",0.812716516521861,0.97961723791956,0.489763426048702,0.742099148724417,1.02313812713093,0.596836226146573,0.490078779198613,1.12722637903498
"46","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.8","0.95","normal",1.26885197451728,1.185651837699,0.840276381656052,0.719997048775132,1.22172298040545,0.640477453438402,0.840590606242693,1.02490518950148
"47","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.8","0.95","normal",0.870736225851774,0.980962345664145,0.581173609800898,0.751457353426548,1.03222797879409,0.614716868897832,0.579219184256956,1.08221334134811
"48","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.8","0.95","normal",1.14883147566237,1.0997809056467,0.840543037088427,0.760891474948927,1.11864648599129,0.662083644148443,0.840493716092847,1.04571449268247
"49","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.8","0.95","normal",1.03535926489461,1.05480742483168,0.647301758312547,0.689493525934557,1.10537247321149,0.520446510121664,0.647864987058438,0.943032622186644
"50","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.8","0.95","normal",0.945180912790748,0.993818647340735,0.625094221832723,0.711083961673532,1.05213648563199,0.590766074719246,0.622797925914603,0.975213970511553
"51","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.8","0.95","normal",1.05122209610333,1.06200649666977,0.65317674961361,0.671168880066384,1.07467371620871,0.598329152562263,0.653010289349164,1.02039300230313
