"","n11","n22","sig13","sig23","sig_y3","basemu3","shift3","alphas3","betas3","tau3","gammas3","sig_u4","outcome_model4","n14","n24","sig14","sig24","sig_y4","basemu4","shift4","alphas5","betas5","tau6","gammas6","sig_u6","outcome_model7","n18","n28","sig18","sig28","sig_y9","basemu9","shift9","alphas9","betas10","tau10","gammas11","sig_u11","outcome_model11","n112","n213","tau1hat","tau1tilde","psi1","psi2","tau1mime","tau1rcal","tau1naive","tau1oracle"
"32","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.140647041138721,0.0983156963071944,0.142160664884492,0.0966686488362751,0.103251247969016,0.0948899743934833,0.14239454472611,0.0970088858546716
"33","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.0477024854516538,0.0956068519028723,0.0605833128703018,0.108038943568282,0.0983618301648349,0.107193935100953,0.0585893551727781,0.107031146644957
"34","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.112739119223924,0.104578709528337,0.112575070059867,0.104020004514946,0.109354969648196,0.103689531341526,0.112417945251323,0.101471725779081
"35","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.0982352935693718,0.109657764890419,0.0974824587042137,0.112415661370879,0.111815014890087,0.111517111967012,0.096386947195313,0.109295907670839
"36","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.184587583354344,0.105975849442857,0.192246519491564,0.105315749089227,0.110187040999914,0.104598287752989,0.194486755376277,0.101284476843665
"37","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.114019410263486,0.0973174647589767,0.110991849026265,0.0892477304808179,0.0953915462937699,0.0877870991707991,0.110642778777365,0.0891442172643535
"38","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.0923976788898511,0.120973481383548,0.0838105504754744,0.118366172869939,0.116508562296185,0.11800807929619,0.0859069765504532,0.117720625656092
"39","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.0855742171669596,0.104038206142682,0.0902640508650447,0.110722819106022,0.107092326971838,0.10837658721754,0.0884268150238966,0.108937132682196
"40","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.112279377935605,0.127183248063283,0.110113452349976,0.125953935243515,0.129350842639904,0.125539125502776,0.108791718345935,0.125481094908666
"41","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.0879699631459495,0.109382128600587,0.0773712763508677,0.101852172895581,0.105147242730655,0.0998789437150808,0.0769329527490279,0.0998934644930591
"42","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.0611194536157042,0.0869341755997248,0.0832049092092093,0.101108294885765,0.0951199057550007,0.100387087038922,0.084626315574506,0.102457323150403
"43","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.0615056187833204,0.0951631754908408,0.0633817263787367,0.106082562730576,0.100184615730256,0.10539585252195,0.0633099574873273,0.104485977795479
"44","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.148676539972021,0.136682259274469,0.150794852200693,0.136481924615006,0.133308499573206,0.13553301601183,0.150594337367978,0.136961422644899
"45","300","3000","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.25","binary",0.170819368094609,0.105219332726017,0.17737720948993,0.115525850052279,0.115193618576764,0.115484686656748,0.177851834008479,0.110158464142423
